Character,Frequency
' ',169892
'e',94611
't',67009
'o',65798
'a',55507
'h',51310
's',49696
'r',48889
'n',48529
'i',45537
'\n',40000
'l',33339
'd',31358
'u',26584
'm',22243
'y',20448
"','",19846
'w',17585
'f',15770
'c',15623
'g',13356
'I',11832
'b',11321
'p',10808
':',10316
'.',7885
'A',7819
'v',7793
'k',7088
'T',7015
"""'""",6187
'E',6041
'O',5481
'N',5079
'R',4869
'S',4523
'L',3876
'C',3820
';',3628
'W',3530
'U',3313
'H',3068
'M',2840
'B',2761
'?',2462
'G',2399
'!',2172
'D',2089
'-',1897
'F',1797
'Y',1718
'P',1641
'K',1584
'V',798
'j',628
'q',609
'x',529
'z',356
'J',320
'Q',231
'Z',198
'X',112
'3',27
'&',3
'$',1
