TSNE_1,TSNE_2,Target_Index,Target_Character
39.746037,25.902004,43,'e'
2.6153176,-4.830325,21,'I'
26.844854,-11.772054,43,'e'
-18.944538,-0.001270616,43,'e'
10.296822,14.663885,54,'p'
26.061432,-12.069318,58,'t'
-22.335518,22.356691,52,'n'
24.880707,10.478543,43,'e'
-33.8024,6.212573,46,'h'
47.33967,2.3041313,53,'o'
-1.0119793,-9.1503935,51,'m'
44.004787,7.89486,47,'i'
-23.28135,23.629242,58,'t'
51.54877,-3.4413729,46,'h'
-47.949726,-25.330301,1,' '
-40.21312,-8.990353,1,' '
7.417602,-5.95126,61,'w'
-48.034576,-27.14835,0,'\n'
-35.90768,-4.659763,1,' '
-47.956993,-25.272507,1,' '
-15.089822,27.989716,56,'r'
23.660355,16.754625,43,'e'
27.178312,-1.7486094,46,'h'
-19.337732,5.608377,1,' '
-8.801221,11.703583,63,'y'
-2.4273756,-28.997477,19,'G'
-7.456259,12.035602,52,'n'
7.544326,-7.8674912,21,'I'
-4.521307,15.72896,51,'m'
-17.856619,10.640365,6,"','"
-32.506035,-17.5062,5,"""'"""
9.116922,0.033199023,51,'m'
-40.98877,-13.75656,1,' '
-21.62192,-8.543575,1,' '
-2.3925743,25.976126,56,'r'
45.121914,6.756879,56,'r'
7.735551,35.480072,59,'u'
7.999302,20.611593,57,'s'
-17.348305,13.19815,52,'n'
39.181526,1.3405321,53,'o'
19.410141,-3.131399,46,'h'
27.817871,-2.124565,46,'h'
40.04962,13.698933,47,'i'
-4.8339186,-6.529706,54,'p'
-38.62976,-2.801837,1,' '
9.50312,-35.389294,15,'C'
-20.457685,14.379116,1,' '
5.3067465,7.8986363,40,'b'
-25.17041,-2.5315442,51,'m'
23.054848,13.72905,0,'\n'
-8.512844,-10.396099,39,'a'
49.034164,10.272616,47,'i'
-15.441178,-10.499399,57,'s'
40.890507,9.268088,43,'e'
4.034874,6.8773446,57,'s'
47.922737,4.6715913,56,'r'
-49.289078,-3.7245865,1,' '
32.799767,21.571217,43,'e'
47.3851,24.297007,43,'e'
-6.851232,-32.593555,0,'\n'
-30.828234,-2.7362986,6,"','"
-18.191366,18.133173,0,'\n'
