Character,Original_Frequency,Generated_Frequency
'\n',0.03586176723202743,0.03490196078431373
' ',0.15231568396459008,0.1703921568627451
'!',0.0019472939606990892,0.001176470588235294
'$',8.965441808006857e-07,0.0
'&',2.689632542402057e-06,0.0
"""'""",0.005546918846613842,0.003137254901960784
"','",0.017792815812170407,0.01431372549019608
'-',0.0017007443109789007,0.000588235294117647
'.',0.0070692508656134065,0.00784313725490196
'3',2.4206692881618513e-05,0.0
':',0.009248749769139874,0.00803921568627451
';',0.0032526622879448875,0.00196078431372549
'?',0.0022072917731312883,0.000980392156862745
'A',0.007010078949680561,0.005294117647058823
'B',0.002475358483190693,0.001176470588235294
'C',0.003424798770658619,0.0035294117647058825
'D',0.0018728807936926324,0.002156862745098039
'E',0.005416023396216942,0.006274509803921568
'F',0.0016110898928988321,0.000392156862745098
'G',0.002150809489740845,0.000980392156862745
'H',0.0027505975466965036,0.000980392156862745
'I',0.010607910747233712,0.011372549019607842
'J',0.00028689413785621944,0.0
'K',0.0014201259823882861,0.0017647058823529412
'L',0.0034750052447834576,0.003137254901960784
'M',0.0025461854734739474,0.0017647058823529412
'N',0.004553547894286683,0.005294117647058823
'O',0.004913958654968558,0.005490196078431373
'P',0.0014712290006939253,0.0035294117647058825
'Q',0.0002071017057649584,0.0
'R',0.004365273616318539,0.000588235294117647
'S',0.004055069329761502,0.003137254901960784
'T',0.00628925742831681,0.006470588235294118
'U',0.0029702508709926714,0.0037254901960784314
'V',0.0007154422562789471,0.0017647058823529412
'W',0.0031648009582264203,0.0029411764705882353
'X',0.00010041294824967679,0.0
'Y',0.001540262902615578,0.000980392156862745
'Z',0.00017751574779853576,0.0
'a',0.04976447784370366,0.05411764705882353
'b',0.010149776670844563,0.009411764705882352
'c',0.014006709736649112,0.01431372549019608
'd',0.028113832421547903,0.02980392156862745
'e',0.08482294148973367,0.08725490196078431
'f',0.014138501731226813,0.012352941176470587
'g',0.011974244078773958,0.005294117647058823
'h',0.04600168191688318,0.05137254901960785
'i',0.04082593236112082,0.03470588235294118
'j',0.0005630297455428306,0.000784313725490196
'k',0.00635470515351526,0.00607843137254902
'l',0.02988988644371406,0.022941176470588236
'm',0.01994183221354965,0.022941176470588236
'n',0.04350839255007648,0.04392156862745098
'o',0.05899081400832352,0.06235294117647059
'p',0.009689849506093811,0.01019607843137255
'q',0.0005459954061076176,0.000196078431372549
'r',0.04383114845516472,0.04372549019607843
's',0.044554659609070874,0.0488235294117647
't',0.060076529011273146,0.061764705882352944
'u',0.023833730502405427,0.01843137254901961
'v',0.0069867688009797434,0.007450980392156863
'w',0.015765729419380058,0.015098039215686275
'x',0.00047427187164356273,0.0
'y',0.01833253540901242,0.020588235294117647
'z',0.0003191697283650441,0.0
