Epoch,Training_Perplexity,Validation_Perplexity
1,8.960758534632202,6.405328929080432
2,5.822606859627977,5.543925097030331
3,5.113438416704719,5.213243432230286
4,4.762357673000709,5.041679797969465
5,4.537756352596564,4.978925570966433
6,4.3820149994271445,4.836810136342047
7,4.264419983217542,4.774971426796678
8,4.174284798946419,4.801814782024856
9,4.098773099948294,4.742264950321547
10,4.038257256289884,4.732145756475576
11,3.9717986604227167,4.735106597623618
12,3.9302184936158406,4.756871577010284
13,3.8905556150564666,4.717893441875829
14,3.860498123488748,4.736004187909391
15,3.8224391455624214,4.728761144821347
16,3.7922193436370977,4.75462483597866
17,3.66518841253783,4.707935130003603
18,3.598015753775297,4.725653293450237
19,3.559899649313207,4.708729898196864
20,3.5306824450383743,4.7513153361008635
21,3.460410171881076,4.738993994961723
22,3.4261333383538264,4.767889882308613
23,3.4008235405014635,4.760868783378524
24,3.374013406958936,4.77243110044719
25,3.3466433679646124,4.78553303114996
